Band,Song,Player,Technique,Difficulty,Score
Acid Witch,Swamp Spells,,"['Distortion Guitar', 'Rythym Guitar']",Intermediate,3/8
Acid Witch,Nain Rouge The Red Dwarf,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Acid Witch,Live Forever,Rythym,['Distortion Guitar'],Intermediate,3/8
Acid Witch,Cauldron Cave,Lead,['Distortion Guitar'],Intermediate,3/8
Slipknot,Solway Firth ,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Petr Válek,Scratch,petr,['Distortion Guitar'],Intermediate,3/8
Slipknot,Nero Forte ,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Slayer,Pride In Prejudice,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Slipknot,Unsainted ,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Slipknot,All Out Life ,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Untitled,Cool Piano,,['Distortion Guitar'],Advanced,8/8
Untitled,TriolTest940,,['Distortion Guitar'],Intermediate,3/8
Untitled,StrangeMusik3,,"['Distortion Guitar', 'Distortion Guitar #2']",Intermediate,3/8
Lmc,Car Dependency,,['Distortion Guitar 1'],Intermediate,3/8
Slipknot,The Negative One ,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Slipknot,Custer ,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Rammstein,Angst ,Richard Kruspe,['Distortion Guitar'],Intermediate,3/8
Mud Creek,Scissos,,['Distortion Guitar'],Intermediate,3/8
Slipknot,Killpop ,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Untitled,wt1218,,"['Electric Guitar (clean)', 'Clean Guitar 2']",Intermediate,3/8
Elften,I Never Wanted,Cesar,['Distortion Guitar'],Intermediate,4/8
Slipknot,AOV ,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Broken Vengeance,True Colors,Track 1,['Distortion Guitar'],Intermediate,3/8
Anocreate,{end},,['Distortion Guitar 2'],Intermediate,3/8
Slipknot,All Hope Is Gone ,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Untitled,Pyanye_Razborki,,['Distortion Guitar'],Intermediate,3/8
Creatures Of Furkahn,Purification,Distortion Sol,['Distortion Guitar'],Intermediate,3/8
Creatures Of Furkahn,Dark,Distortion Sağ,['Distortion Guitar'],Intermediate,3/8
Seba & The Homeless,Trzeci ,ZWOL,['Distortion Guitar'],Intermediate,3/8
Faded Away,ltrackw,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Faded Away,Control,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Mayu Maeshima,Answer,Track 1,['Distortion Guitar'],Intermediate,3/8
Xy Jay,Spirit Bomba,Track 1,['Distortion Guitar'],Intermediate,5/8
Untitled,SP_Test1002,,['Distortion Guitar'],Intermediate,3/8
