Band,Song,Player,Technique,Difficulty,Score
Dead By April,Losing You ,,['Distortion Guitar 2'],Intermediate,3/8
Brutality Will Prevail,Trapped Doors Moving Walls,Track 2,['Distortion Guitar'],Beginner,2/8
Brak,Brak,Utwór 3,['Distortion Guitar'],Intermediate,4/8
Snow White's Poison Bite,Serial Killer Girl,Gtr II,['Distortion Guitar'],Intermediate,3/8
Obey The Brave,Live And Learn,RIGHT,['Distortion Guitar'],Intermediate,3/8
"Chunk! No, Captain Chunk!",Positiv-O,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Repeat Endless,The One,Quentin (lead),['Distortion Guitar'],Intermediate,3/8
Dir En Grey,Zan 2009,Kaoru,['Distortion Guitar'],Intermediate,4/8
Miss May I,Hey Mister,Lead #2,['Distortion Guitar'],Intermediate,4/8
The Ghost Inside,Slipping Away,,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
Miss May I,Bleeding Out,,"['Distortion Guitar', 'Lead Guitar']",Beginner,1/8
Miss May I,Sirens Song,,"['Distortion Guitar', 'Rythm Guitar #1']",Intermediate,3/8
Miss May I,Opening Wounds,,"['Distortion Guitar', 'Rythm Guitar #1']",Beginner,2/8
A Call To Sincerity,Lead The Lights,Track 1,['Distortion Guitar'],Intermediate,3/8
Keith Merrow,Titan,Spår 3,['Distortion Guitar'],Intermediate,3/8
Parkway Drive,Dark Days,,"['Overdriven Guitar', 'Solo guitar 2']",Beginner,2/8
Allegiance,Where I Stand,Nick Moore,['Overdriven Guitar'],Intermediate,3/8
Ff,Practice,Micah  Loy,['Distortion Guitar'],Beginner,2/8
Parkway Drive,Old Ghost New Regrets,Jeff,['Distortion Guitar'],Intermediate,5/8
Parkway Drive,Old Ghosts/New Regrets,Jeff,['Distortion Guitar'],Intermediate,5/8
Posthuman Manifesto,Sybreed,Track 1,['Distortion Guitar'],Intermediate,3/8
Like Moths To Flames,Gnf,Lead,['Distortion Guitar'],Intermediate,3/8
Like Moths To Flames,Your Existence,Lead,['Distortion Guitar'],Intermediate,3/8
In Flames,The Puzzle,,"['Distortion Guitar', 'Rythm Guitar 1']",Intermediate,4/8
On The Horns Of A Dilemma,Pieza 1,XKevinX,['Distortion Guitar'],Intermediate,5/8
Insult To Injury,Genesis,Track 3,['Distortion Guitar'],Intermediate,3/8
Insult To Injury,Changes,Track 3,['Distortion Guitar'],Intermediate,3/8
Insult To Injury,Sacrifices,Track 2,['Distortion Guitar'],Intermediate,4/8
Insult To Injury,Expectations,Track 1,['Overdriven Guitar'],Intermediate,3/8
Lol,Lol,Buckethead,['Overdriven Guitar'],Intermediate,3/8
Issues,King Of Amarillo,,"['Distortion Guitar', 'Right Guitar']",Beginner,2/8
Anal Explosion,Pink Ponies,Track 5,['Distortion Guitar'],Advanced,6/8
Bongripper,Satan,,"['Distortion Guitar', 'Electric Guitar']",Beginner,2/8
A Call To Sincerity,The Means To An End,Track 2,['Distortion Guitar'],Intermediate,4/8
Like Moths To Flames,The Worst In Me,Track 2,['Distortion Guitar'],Intermediate,3/8
Sybreed,No Wisdom Brings Solace,Thomas Betrisey,['Distortion Guitar'],Beginner,2/8
Sybreed,Electronegative,DROP,['Distortion Guitar'],Intermediate,3/8
Oz,Filmy,Aki,['Distortion Guitar'],Intermediate,3/8
Darkest Hour,Savor The Kill,,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,3/8
Above This,Versatile,Spur 1,['Distortion Guitar'],Intermediate,4/8
For The Fallen Dreams,In Sincerity ,Track 2,['Distortion Guitar'],Beginner,2/8
Wintersun,Land Of Snow And Sorrow,Jari-clean,['Acoustic Guitar (steel)'],Beginner,1/8
Woe Is Me,A Story To Tell,,"['Distortion Guitar', 'Guitar1']",Intermediate,3/8
Scottybonscott,Track02,Track 4,['Distortion Guitar'],Intermediate,3/8
A Day To Remember,Violence [Enough Is Enough],,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
In Flames,Sober And Irrelevant,,"['Distortion Guitar', 'Rhythm Guitar I']",Intermediate,4/8
Scottybonscott,Track01,,"['Overdriven Guitar', 'Guitar01']",Intermediate,3/8
Scottybonscott,Cover Like A G6 ,Track 5,['Overdriven Guitar'],Intermediate,3/8
Dead Silence Hides My Cries,My Hard And Long Way Home,,['Distortion Guitar 2'],Beginner,2/8
Dead Silence Hides My Cries,Deliverance,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Behigrimaxe,Ttro,Dave,['Distortion Guitar'],Intermediate,4/8
Gazers,Doggoned,Hans,['Distortion Guitar'],Intermediate,3/8
Gazers,Rotten To The Core,Hans,['Distortion Guitar'],Intermediate,3/8
Gazers,The Decline,Arthur,['Distortion Guitar'],Intermediate,3/8
The Plot In You,Digging Your Grave,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Red,Death Of Me,,"['Acoustic Guitar (nylon)', 'Guitar 3']",Beginner,2/8
In Flames,Crawl Through Knives,guit solo,['Overdriven Guitar'],Intermediate,3/8
Erra,White Noise,Intro,['Overdriven Guitar'],Beginner,1/8
Misc Unsigned Band,Djent Instrumental,,"['Distortion Guitar', 'Guitar II']",Intermediate,4/8
In Flames,Evil In A Closet,,['Acoustic Guitar (steel)'],Beginner,2/8
In Flames,Fiend,Spår 3,['Distortion Guitar'],Intermediate,3/8
In Flames,Colony,Björn Gelotte,['Distortion Guitar'],Intermediate,3/8
Dead Silence Hides My Cries,"Rest In Peace, My Friend",Track 7,['Overdriven Guitar'],Intermediate,3/8
The Plot In You,Glad You're Gone,,['Overdriven Guitar'],Beginner,1/8
Auras,Sciolist,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Heart Of A Hero,Untitled,synth,['Overdriven Guitar'],Intermediate,3/8
Erra,Pattern Interrupt,,"['Electric Guitar (clean)', 'Clean Rhythm Guitar']",Beginner,2/8
Ronald Mcfondals And The Penetraters,Eon,Track 1,['Distortion Guitar'],Intermediate,3/8
Ronald Mcfondals And The Penetraters,Bacon Pancakes,Track 1,['Distortion Guitar'],Intermediate,3/8
Road,Megint Nyár,Ritmusgitár,['Distortion Guitar'],Beginner,2/8
In Flames,I'm The Highway,Lead 2,['Distortion Guitar'],Beginner,2/8
In Flames,Vacuum,Jesper Stromblad,['Distortion Guitar'],Intermediate,3/8
Slipknot,Snuff,James Root,['Distortion Guitar'],Beginner,1/8
Chevelle,Well Enough Alone,Distortion 1,['Distortion Guitar'],Beginner,2/8
Parkway Drive,A Cold Day In Hell,,"['Distortion Guitar', 'Guitar 1']",Intermediate,5/8
Chevelle,Saferwaters,Pete Clean,['Electric Guitar (clean)'],Beginner,1/8
Parkway Drive,Anasasis Xenophontis,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Chevelle,Antisaint,Track 1,['Distortion Guitar'],Intermediate,3/8
A Perfect Circle,Judith,B. Howerdel (Rhythm),['Distortion Guitar'],Intermediate,3/8
Linkin Park,Don't Stay,,"['Distortion Guitar', 'Brad Delson (Guitar)']",Beginner,1/8
Beautiful Sedativ,A Sharp,,['Overdriven Guitar'],Intermediate,3/8
Chevelle,Grab Thy Hand,Backup/Clean,['Overdriven Guitar'],Beginner,2/8
Chevelle,Send The Pain Below,,"['Electric Guitar (jazz)', 'Guitar 2']",Beginner,2/8
Composers of MSB,A Grain Of Time - The Rule Of Lruht  Viking Klingon,,"['Overdriven Guitar', 'guitar 2']",Intermediate,4/8
Composers of MSB,Fuck The White House,,"['Distortion Guitar', 'guitar 1']",Intermediate,3/8
Composers of MSB,Accordiorganistic 5634,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Composers of MSB,Thrazzy,Track 1,['Distortion Guitar'],Intermediate,3/8
Composers of MSB,Binary Groove,Track 2,['Overdriven Guitar'],Intermediate,3/8
Composers of MSB,In A Stone Casket,Track 2,['Distortion Guitar'],Intermediate,3/8
Composers of MSB,Christina Aguilera In The Land Of The Inabilitatians,,"['Overdriven Guitar', 'Guitar 2']",Intermediate,5/8
Composers of MSB,Softly,,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
Dreadu,Infinity,dreadu #1,['Distortion Guitar'],Intermediate,4/8
Imperial Sodomizers Of Bifara ISOB,Daathh,,"['Distortion Guitar', 'Backguitar']",Intermediate,3/8
Ben Koehler,Dont Know What To Call It,Track 1,['Distortion Guitar'],Intermediate,3/8
Nickelback,See You At The Show,,"['Distortion Guitar', 'Guitar (Ryan Peake)']",Intermediate,3/8
Ozz82,Ss1,,['Distortion Guitar'],Intermediate,3/8
Profiction,Grey Shell,,['Distortion Guitar'],Intermediate,3/8
Profiction,Denounce Me,,"['Overdriven Guitar', 'Guitar 2!']",Intermediate,3/8
Profiction,Through The Eyes,Steve,['Distortion Guitar'],Intermediate,3/8
The Rage Inside,The Rage Inside Me,,['Distortion Guitar'],Intermediate,3/8
Brandyn Ruesink,Huey,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
David Soliz,Sangrin Harmonics,Track 2,['Distortion Guitar'],Intermediate,3/8
Scalpel Velikicirkussum,Oriental Hardcore,Piste 4,['Distortion Guitar'],Intermediate,4/8
Coaltar Of The Deepers,Dead By Dawn,,"['Distortion Guitar', 'Guitar II']",Beginner,2/8
Chevelle,Family System,Pete Loeffler,"['Clean Guitar', 'Electric Guitar (jazz)']",Intermediate,3/8
Chevelle,Dont Fake This,Pete Loeffler,"['Clean Guitar', 'Electric Guitar (jazz)']",Beginner,1/8
Dreadu,Meomries,dreadu,['Electric Guitar (clean)'],Intermediate,3/8
Evanescence,Imaginary,,"['Distortion Guitar', 'Guitar (Studio)']",Beginner,1/8
Fated Circles,Blackened Angel,Joe,['Electric Guitar (jazz)'],Beginner,2/8
Fantomas,Der Golem,Guitar [Buzz Osbourne,['Distortion Guitar'],Intermediate,3/8
Nickelback,Not Leavin' Yet,Chad drop B,['Distortion Guitar'],Intermediate,3/8
Nickelback,Do This Anymore,,"['Distortion Guitar', 'Acoustic Guitar (steel)']",Intermediate,3/8
Ruger,Pro Lyubov,Gtr. 1,['Distortion Guitar'],Intermediate,3/8
Slippy,Fate,Max,['Distortion Guitar'],Intermediate,3/8
Slippy,Moan,G 2,['Overdriven Guitar'],Intermediate,3/8
Theory Of A Deadman,The Last Song,Acustic,['Acoustic Guitar (steel)'],Beginner,2/8
The Kills,Black Balloon,Alison,['Acoustic Guitar (steel)'],Beginner,1/8
The Kills,Love Is A Deserter,Jamie Lead,['Overdriven Guitar'],Intermediate,3/8
Chevelle,Brainiac,Lead 3,['Distortion Guitar'],Beginner,2/8
Theory Of A Deadman,Point To Prove,Track 2,['Electric Guitar (jazz)'],Intermediate,3/8
Chevelle,An Evening With El Diablo,,"['Electric Guitar (clean)', '+Guitar']",Beginner,2/8
Chevelle,Forfeit,Fills,['Distortion Guitar'],Beginner,1/8
Chevelle,Wonder What's Next,,['Distortion Guitar 2'],Beginner,2/8
Judson,Escape,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Composers of MSB,I Hate That Damn William Shatner Mask,Track 2,['Overdriven Guitar'],Intermediate,5/8
Djeena Circus,The New Empire   This Big Enterprise Part 1,,['Overdriven Guitar'],Intermediate,3/8
Djeena Circus,The New Empire   This Big Enterprise Part 2,,['Distortion Guitar 2'],Intermediate,3/8
Iwrestledabearonce,Tastes Like Kevin Bacon,Track 1,['Distortion Guitar'],Intermediate,5/8
Devils Never Cry,Monday ,,"['Distortion Guitar', 'Guitar 2 (Distortion)']",Beginner,1/8
Chevelle,In Debt To Earth,,['Electric Guitar (clean)'],Beginner,2/8
Chevelle,Until You're Reformed,Track 1,['Distortion Guitar'],Beginner,2/8
Criss Angel,Mindfreak Klayton,,['Distortion Guitar'],Intermediate,3/8
Black Light Burns,Coward,Utwór 1,['Distortion Guitar'],Beginner,1/8
Evanescence,All That I'm Living For,,"['Distortion Guitar', 'Guitare 2']",Beginner,1/8
Fuck Im Dead,Pickled Member,Track 5,['Distortion Guitar'],Intermediate,3/8
Fuck Im Dead,My Feral Fucktoy,Track 2,['Distortion Guitar'],Intermediate,3/8
Fuck Im Dead,Shopfront Whore,Track 1,['Distortion Guitar'],Intermediate,3/8
Fuck Im Dead,A Fraction Off Death,Track 2,['Distortion Guitar'],Intermediate,4/8
Fuck Im Dead,Horrendous Bowel Evacuation,Track 1,['Distortion Guitar'],Intermediate,3/8
Fuck Im Dead,Licky Webster,Track 1,['Distortion Guitar'],Intermediate,3/8
Girugamesh,Shadan,Nii,"['Guitar 3', 'Overdriven Guitar']",Intermediate,3/8
Hed P E,I Got You,,"['Distortion Guitar', 'Guitar 1']",Beginner,1/8
Joe Bonamassa,The Ballad Of John Henry,,['Overdriven Guitar'],Beginner,2/8
Misc. Computer Games,Ghost N Goblins Theme,,['Overdriven Guitar'],Intermediate,3/8
Rockman X3,Zero Theme,,"['Distortion Guitar', 'Rythmy Guitar II']",Beginner,2/8
Pokemon,Champion Battle Gold Silver Crystal,Track 3,['Overdriven Guitar'],Beginner,2/8
Manic On Parade,The Enemy Is Among Us,Lead,['Distortion Guitar'],Intermediate,3/8
Trimble,Sdtf,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
H Town Riot,Life Beyond,Kendall,['Distortion Guitar'],Intermediate,3/8
Trimble,All Walks Of Life,,"['Distortion Guitar', '2nd Guitar']",Intermediate,3/8
Iwrestledabearonce,Ulrich Firelord Breaker Of Mountains,Lead,['Distortion Guitar'],Intermediate,3/8
At The Sunset,Born To Be Rejected,,"['Distortion Guitar', '3° Guitar']",Intermediate,5/8
Date Rape Death,Cellar Door,MIKEY!! DUAL HARMONIC BITS,['Distortion Guitar'],Intermediate,3/8
Dream,Gothic Waltz,,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
Anarchy Angel,Obsession,,"['Overdriven Guitar', 'Rocket McNamara (Lead Guitar)']",Beginner,2/8
Anarchy Angel,Enter The Maelstrom,Lil Nik,['Distortion Guitar'],Intermediate,3/8
A Dead Mans Tale,She Went Out Like Al Capone,,['Overdriven Guitar'],Intermediate,5/8
Loud Noise,Unnamed,**@leX**,['Distortion Guitar'],Intermediate,3/8
Manic On Parade,Icarus,overdubb,['Distortion Guitar'],Intermediate,3/8
Sepulture Of Hypocrisy,Sepulture Of Hypocrisy,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Anarchy Angel,Angel You Despise,Niklaus Robinson,"['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
Loud Noise,Rotten Noise,Stupid bag with shit #-2,['Distortion Guitar'],Intermediate,3/8
Skylar Rickel,Don't Run Don't Hide,Track 1,['Overdriven Guitar'],Intermediate,5/8
Ants Metal,Lady Intrigue,,"['Electric Guitar (clean)', 'clean guitar']",Intermediate,3/8
Send My Regards,The Antagonist,Adam (acous.),['Acoustic Guitar (nylon)'],Intermediate,4/8
Diyu,She Still Breathes,Gongda,['Distortion Guitar'],Intermediate,3/8
The Fugitives,Today,Alexandar Marin,['Overdriven Guitar'],Intermediate,3/8
Mattrach,Error System,,"['Distortion Guitar', 'Guitare solo']",Intermediate,4/8
Manic On Parade,The Fall,lead,['Acoustic Guitar (steel)'],Intermediate,3/8
Diyu,Crawl,Gongda,['Distortion Guitar'],Intermediate,3/8
Diyu,Forsaken,Gongda,['Distortion Guitar'],Intermediate,3/8
Allen,This Lfe,Allen,['Distortion Guitar'],Intermediate,3/8
Matt Hare,Latest Song,Austin Jazz,['Electric Guitar (jazz)'],Intermediate,3/8
Nightmare,General,,"['Distortion Guitar', 'Guitar II (Hitsugi)']",Intermediate,3/8
Rob Zombie,American Witch,Track 2,['Distortion Guitar'],Beginner,2/8
Rob Zombie,Man Without Fear,,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
Skillet,The Last Night,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Nega,Reminiscence,,"['Overdriven Guitar', 'Guitar 2']",Beginner,2/8
Ofensywnyrondel,Asdasa,Utwór 6,['Distortion Guitar'],Intermediate,4/8
Chevelle,Jars,,['Distortion Guitar'],Intermediate,3/8
Theory Of A Deadman,Nothing Could Come Between Us,,"['Electric Guitar (clean)', 'Guitar 1']",Beginner,2/8
Uverworld,Nitro,,"['Overdriven Guitar', 'Guitar I']",Beginner,2/8
We Butter The Bread With Butter,13 Wuensche,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Mouse,Sound Check,Track 4,['Distortion Guitar'],Intermediate,3/8
A Peaceful Resistance,Pahrump Sucks Vegas Rules!,Track 1,['Overdriven Guitar'],Advanced,6/8
A Peaceful Resistance,Everybody Hates Tomorrow,Track 1,['Overdriven Guitar'],Intermediate,4/8
Mouse,Melodic Death Metal,,"['Electric Guitar (jazz)', 'Guitar III']",Beginner,1/8
Alter Bridge,Coming Home,,"['Distortion Guitar', 'Myles Kennedy (Rhythm Guitar)']",Beginner,2/8
Road,Visszahárom,Goya,['Distortion Guitar'],Intermediate,3/8
Breakdown Outro,Breakdown Outro,,"['Distortion Guitar', 'Guitar 1 (Right)']",Intermediate,4/8
Anesthetics,4,,"['Overdriven Guitar', 'Guitar III']",Intermediate,3/8
I Keep My Pride,Sanirio Só Come Arroz Com Bosta,Track 1,['Distortion Guitar'],Intermediate,3/8
Mouse,Boys Like Girls With Daddy Issues,Track 3,['Overdriven Guitar'],Beginner,2/8
Tinagowtfay,One Last Dance,Jocke,['Distortion Guitar'],Intermediate,3/8
Corgi Apocalypse,An Army From The Bottom Of The Sea,Track 1,['Overdriven Guitar'],Intermediate,3/8
Titkolt Ellenállás,Hoth Páncélosai,Gitár #2,['Overdriven Guitar'],Intermediate,3/8
Atria,Have Faith,Track 1,['Distortion Guitar'],Intermediate,3/8
Atria,Have Faith ,Track 1,['Distortion Guitar'],Intermediate,3/8
Tinagowtfay,The Great Psycho Of Them All,Jocke,['Distortion Guitar'],Intermediate,3/8
Ryan,Emma,Track 1,['Overdriven Guitar'],Intermediate,4/8
Ozzy Osbourne,Soul Sucker,Rhy. Gtr. 3,['Distortion Guitar'],Intermediate,3/8
Ozzy Osbourne,Fearless,Rhy. Gtr. 1,['Distortion Guitar'],Beginner,2/8
Ozzy Osbourne,Latimers Mercy,Lead Gtr.,['Distortion Guitar'],Advanced,8/8
Mike Shinoda,Selector,,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,3/8
Alice Nine,Drella,,"['Distortion Guitar', 'E. Guitar IV']",Intermediate,4/8
Chevelle,The Gist,,"['Distortion Guitar', 'Pete Loeffler- Guitar']",Intermediate,3/8
Chevelle,Roswells Spell,,"['Distortion Guitar', 'Lead Guitar']",Beginner,1/8
Cross And Blackwell,Listen To Me,????,['Distortion Guitar'],Advanced,7/8
Cross And Blackwell,Respect Al Papi,???,['Distortion Guitar'],Intermediate,3/8
Cross And Blackwell,I'm The Supreme One,????,['Distortion Guitar'],Intermediate,5/8
Creed,Fear,Piste 1,['Distortion Guitar'],Intermediate,3/8
Sauraku,Warmups,Track 1,['Distortion Guitar'],Advanced,8/8
Fuck Im Dead,Jeffrey Dahmers Cookbook,Track 2,['Distortion Guitar'],Intermediate,4/8
Fuck Im Dead,Anal Abattoir,Track 2,['Distortion Guitar'],Intermediate,5/8
Fuck Im Dead,Twist Of Death,Track 2,['Distortion Guitar'],Intermediate,4/8
Fuck Im Dead,Colon Commando,Track 5,['Distortion Guitar'],Advanced,8/8
Fuck Im Dead,Burnt To An Absolute Crisp,Track 4,['Distortion Guitar'],Intermediate,3/8
Fuck Im Dead,Slowly Raped With A Chainsaw,Track 1,['Distortion Guitar'],Intermediate,4/8
Fuck Im Dead,Gore Ridden,Track 1,['Distortion Guitar'],Intermediate,4/8
Fuck Im Dead,Barefoot And Shit Faced,Track 1,['Distortion Guitar'],Intermediate,3/8
Fuck Im Dead,Spray Me With Fecal Matter,Track 1,['Distortion Guitar'],Intermediate,4/8
Fuck Im Dead,Army Of Hermaphrodites,Track 2,['Distortion Guitar'],Intermediate,3/8
Fuck Im Dead,Toilet Tantalizers,Track 1,['Distortion Guitar'],Intermediate,3/8
Fuck Im Dead,Enemosity,Track 1,['Distortion Guitar'],Intermediate,3/8
Fuck Im Dead,Inject Me With Aids,Track 2,['Distortion Guitar'],Intermediate,3/8
Fuck Im Dead,Fuck I'm Dead,Track 1,['Distortion Guitar'],Intermediate,3/8
Fuck Im Dead,Violet,Track 2,['Distortion Guitar'],Intermediate,5/8
Ashes Divide,The Prey,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Chevelle,Letos Headache,,"['Distortion Guitar', 'Pete Loeffler- Guitar']",Intermediate,3/8
Factor150,Feel The Taste,MaxFactor,['Overdriven Guitar'],Intermediate,3/8
Far East Movement,Like A G6,Track 1,['Distortion Guitar'],Beginner,1/8
Glass Heart Serenade,Just To Be With Her,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
High And Mighty Color,Resistance,Rhythm,['Distortion Guitar'],Intermediate,3/8
Korsika,Skorost Sveta,Гитара,['Distortion Guitar'],Intermediate,3/8
Korsika,Kto Tvoi Bog,Гитара 2,['Distortion Guitar'],Intermediate,3/8
Korsika,Drugaja Storona,Гитара 2,['Distortion Guitar'],Intermediate,3/8
Korsika,Connekt,Гитара 1,['Distortion Guitar'],Intermediate,3/8
Korsika,Gestokie Igri,Гитара (акуст.),['Acoustic Guitar (steel)'],Intermediate,3/8
Korsika,Granica,Гитара 1,['Distortion Guitar'],Intermediate,3/8
Korsika,Zavtra,Гитара,['Distortion Guitar'],Intermediate,3/8
Korsika,200 Udarov V Minutu,Гитара 2,['Distortion Guitar'],Intermediate,3/8
King,Thinker,,"['Overdriven Guitar', 'Extra Guitar 1']",Intermediate,5/8
Prince Of Persia Warrior Within,First Crowbattle,,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
Castle Crashers,The Necromancer,Track 1,['Distortion Guitar'],Intermediate,4/8
Plagueborn,Technical,Track 1,['Distortion Guitar'],Advanced,7/8
Robert Taylor,Weiners,Track 4,['Overdriven Guitar'],Intermediate,3/8
Sentients,Oracle,Track 2,['Overdriven Guitar'],Intermediate,5/8
Your Chariot Awaits,Nightmares,,"['Distortion Guitar', 'Guitar 2']",Intermediate,4/8
Heavenslost,If I See Heads Rise Violence Will Occur,,"['Overdriven Guitar', 'Guitar R']",Intermediate,4/8
Mickeys Ice,Poop2,Track 2,['Overdriven Guitar'],Intermediate,5/8
Sicko,Beneath The Floorboards Digging Your Own Grave,Track 2,['Overdriven Guitar'],Intermediate,3/8
Deadmansharvest,To My Supposed Master,Mike Clean Right,['Electric Guitar (clean)'],Intermediate,3/8
Black And White,Last Pray Of Betrayed Romeo,GITAR 2,['Distortion Guitar'],Intermediate,5/8
Children Of Bodom,Angels Don't Kill,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Gojira,The Gift Of Guilt,Christian Andreu,['Distortion Guitar'],Intermediate,4/8
Thedooo,Ascend ,,"['Acoustic Guitar (steel)', 'Distortion Guitar 1']",Beginner,2/8
Disturbed,Stricken,Dan Donegan,"['Guitar', 'Distortion Guitar']",Intermediate,4/8
Killswitch Engage,Never Again,Adam D.,['Distortion Guitar'],Intermediate,4/8
Mejibray,Nepenthes,,['Distortion Guitar'],Intermediate,3/8
Killswitch Engage,Eye Of The Storm,Adam D.,['Distortion Guitar'],Intermediate,3/8
Three Days Grace,Riot,Barry Stock,['Distortion Guitar'],Intermediate,4/8
Deftones,Digital Bath,,"['Distortion Guitar', 'Lead Guitar (Chino Moreno)']",Beginner,2/8
Agalloch,Not Unlike The Waves,,['Acoustic Guitar (steel)'],Intermediate,3/8
Motley Crue,Hooligans Holiday,John Corabi,"['Rhytm Guitar', 'Overdriven Guitar']",Beginner,2/8
Children Of Bodom,Lobodomy,Gtr I,['Distortion Guitar'],Intermediate,4/8
Seether,Don't Believe,Gtr 2 Distortion,['Distortion Guitar'],Beginner,2/8
Killswitch Engage,Holy Diver,Adam D.,['Distortion Guitar'],Intermediate,3/8
Children Of Bodom,Blooddrunk,Roope Latvala [Guitar 2,['Distortion Guitar'],Intermediate,3/8
Motley Crue,Bitter Pill,,"['Distortion Guitar', 'Rhythm Guitar (Mick Mars) ']",Beginner,2/8
August Burns Red,1162011,Delay Effect,['Electric Guitar (clean)'],Beginner,2/8
Masaki,Alive,Rhythm ,['Distortion Guitar'],Intermediate,4/8
Yuyoyuppe,Palette,Extra Dist,['Distortion Guitar'],Intermediate,3/8
Three Days Grace,So Called Life,,['Distortion Guitar'],Beginner,2/8
Lithium,He Put A Gun To His Head,Tom,['Acoustic Guitar (steel)'],Beginner,2/8
In The Midst Of Grey,SONG 4,Clean,['Electric Guitar (jazz)'],Advanced,8/8
Noddy,17,Track 1,['Distortion Guitar'],Intermediate,4/8
Negura Bunget,Bruiestru,,['Distortion Guitar'],Beginner,2/8
Unnamed,song 2 - test 1,Track 1,['Distortion Guitar'],Advanced,8/8
The Last Anchor,#6,Track 7,['Distortion Guitar'],Beginner,2/8
Burnout,Highway 66,,['Distortion Guitar'],Beginner,2/8
Stain,01Animal/Remedy,Moritz Luhn,['Distortion Guitar'],Beginner,2/8
Biomorf,Colliding Planets,,"['Distortion Guitar', 'Rythm Guitar ']",Intermediate,3/8
Apathemy,External Bleeding,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
Ohohfu9,Hoc9yc9y,Track 1,['Distortion Guitar'],Beginner,2/8
Jardins Do Jack,Festa,Track 2,['Acoustic Guitar (steel)'],Advanced,8/8
Madkid,Bring Back ,Rhythm,['Overdriven Guitar'],Intermediate,3/8
A Day To Remember,All Signs Point To Lauderdale,Neil Westfall,['Overdriven Guitar'],Beginner,2/8
The Last Anchor,#2,Track 1,['Distortion Guitar'],Beginner,2/8
Afka,afka,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Aaron Maassen,Test,,"['Distortion Guitar', 'Guitar 3']",Beginner,2/8
Hatebreed,Straight To Your Face,Shawn Martin,['Distortion Guitar'],Intermediate,3/8
Deftones,Smile,Chino Clean,['Electric Guitar (clean)'],Beginner,2/8
Godsmack,Straight out,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
The Last Anchor,Tatoo,Вадим,['Distortion Guitar'],Intermediate,3/8
The Last Anchor,#1,Андрюха,['Distortion Guitar'],Intermediate,3/8
Electriccover,RS,,['Distortion Guitar'],Beginner,2/8
Unnamed,Number One,,"['Distortion Guitar', 'Distortion Guitar 2 ']",Intermediate,3/8
Motionless In White,A-M-E-R-I-C-A,,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
Spriggans,5,Track 2,['Distortion Guitar'],Intermediate,3/8
Lithium,Faking,Tom,['Distortion Guitar'],Beginner,2/8
Braille,Incendio dinámico,andres,['Distortion Guitar'],Intermediate,4/8
Diego Ruiz,Fuego norte,,['Distortion Guitar 2'],Beginner,2/8
Method To Madness,Stranger Roam,,['Distortion Guitar 1'],Intermediate,3/8
Banished Archangels,Our Pain,,"['Electric Guitar (clean)', 'Guitarra Limpia']",Beginner,2/8
Banished Archangels,Blasphemy,,"['Electric Guitar (clean)', 'Lead Guitar']",Intermediate,3/8
Warhound,No Peace For Me,,['Distortion Guitar 2'],Intermediate,3/8
Lithium,How Do I Look,Tom,['Distortion Guitar'],Beginner,2/8
Acme,gift,,['Distortion Guitar'],Beginner,2/8
Unnamed,test 3,,"['Distortion Guitar', 'Distortion Guitar 2 ']",Intermediate,3/8
Crimes Against The Crown,Below The Hill,lUCA,['Overdriven Guitar'],Intermediate,4/8
August Burns Red,Empire,Right Lead,['Distortion Guitar'],Intermediate,5/8
Sinister Desire,Iron Fist ,,['Distortion Guitar 1'],Intermediate,3/8
Periphery,The Summer Jam,,"['Distortion Guitar', 'Rythm Guitar 1']",Intermediate,3/8
